title,author,coverImage,songUrl,arousal,valence
Ain't No Sunshine,Bill Withers,"https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","https://www.youtube.com/watch?v=YuKfiH0Scao",0.28003114461898804,0.5017540454864502
All Good Gifts, From Godspell (1973),"https://i.ytimg.com/vi/7AZceyqTWbU/maxresdefault.jpg","https://www.youtube.com/watch?v=2mURti-s0jc",0.260305792093277,0.35869795083999634
All Star,Smashmouth,"https://i.ytimg.com/vi/C5RMsF-TL_I/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGB0gVCh_MA8=&rs=AOn4CLCaNj0IK2_0qPandpJ1wdmOxBpyjw","https://www.youtube.com/watch?v=L_jWHffIx5E",0.6629815101623535,0.6893541216850281
American Pie,Don McLean,"https://images.genius.com/2b54ba79c668ef1c2b760181125bda14.1000x1000x1.jpg","https://www.youtube.com/watch?v=PRpiBpDy7MQ",0.5005114674568176,0.6211948990821838
Amazing Grace,John Newton,"https://df6yevl24pl4a.cloudfront.net/filer_public/1b/a7/1ba71009-e0b9-4be7-8d36-6e182387d57f/amazing-grace-homepage.jpg","https://www.youtube.com/watch?v=ogxLNlgKM8c",0.26506397128105164,0.43604451417922974
Be OK,Ingrid Michaelson,"https://m.media-amazon.com/images/I/81Bt64QSv8L._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=v1LidFgffI0",0.2690259516239166,0.4029214680194855
Black Bird,The Beatles,"https://i1.sndcdn.com/artworks-000548330010-d497un-t500x500.jpg","https://www.youtube.com/watch?v=Man4Xw8Xypo",0.37085989117622375,0.5102452635765076
Blue Suede Shoes,Elvis Presley,"https://i.scdn.co/image/ab67616d0000b273f45cec7e72b9dec993c18872","https://www.youtube.com/watch?v=HeXnFx7aPOE",0.6127625107765198,0.6126640439033508
Breakaway,Kelly Clarkson,"https://m.media-amazon.com/images/I/91bmuBNN+FL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=c-3vPxKdj6o",0.5352701544761658,0.6051022410392761
Brown Eyed Girl,Van Morrison,"https://m.media-amazon.com/images/I/81Uj2lHn3pL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=UfmkgQRmmeE",0.5221559405326843,0.6156912446022034
A Bushel and a Peck,From "Guys and Dolls","https://i.ytimg.com/vi/gkVEQz8AsEw/maxresdefault.jpg","https://www.youtube.com/watch?v=gkVEQz8AsEw",0.3289557695388794,0.49739283323287964
Change The World,Eric Clapton,"https://m.media-amazon.com/images/I/71ckFlxItxL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=x11NA63gLDM",0.3891071081161499,0.5637207627296448
Circle of Life,Elton John,"https://i.ytimg.com/vi/IwH9YvhPN7c/maxresdefault.jpg","https://www.youtube.com/watch?v=IwH9YvhPN7c",0.25520214438438416,0.3425501585006714
Clap for Love,Little Miss Ann,"https://m.media-amazon.com/images/I/71Paej7EmsL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=qfSqPeVem2A",0.46809297800064087,0.6349616646766663
The Climb,Miley Cyrus,https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0,https://www.youtube.com/watch?v=NG2zyeVRcbs,0.483193039894104,0.5559006929397583
Colors of The Wind,Vanessa Williams,"https://m.media-amazon.com/images/I/51YmwavFJhL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=IsVqO83OYow",0.369457483291626,0.517875611782074
Day By Day,From Godspell (1973),"https://i.scdn.co/image/ab67616d0000b27330debdac6879f2cc74d0bb74","https://www.youtube.com/watch?v=ekoHxB4idmg",0.6258466839790344,0.6784101128578186
Defying Gravity,From "Wicked","https://i.ytimg.com/vi/fEq3xM-i0Ng/maxresdefault.jpg","https://www.youtube.com/watch?v=l0Bs_eaXaCo",0.49718788266181946,0.5310232043266296
Do-Re-Mi,From The Sound of Music (1965),"https://i.ytimg.com/vi/jITsImZdlMQ/sddefault.jpg","https://www.youtube.com/watch?v=drnBMAEA3AM",0.25853633880615234,0.30056115984916687
Don't Worry Be Happy,Bobby McFerrin,"https://i.scdn.co/image/ab67616d0000b273a88b9eddbf3650ea0529f2cc","https://www.youtube.com/watch?v=d-diB65scQU",0.2800029516220093,0.35033783316612244
Everybody,Ingrid Michaelson,"https://m.media-amazon.com/images/I/A1NXShedHyL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=OopNWnLSAA4",0.5476096272468567,0.6498112678527832
Fire and Rain,James Taylor,"https://i.scdn.co/image/ab67616d0000b273b3adf9b1706b05af854bbad4","https://www.youtube.com/watch?v=EbD7lfrsY2s",0.2405938357114792,0.4202769696712494
Firework,Katy Perry,"https://i1.sndcdn.com/artworks-000048224341-013o6t-t500x500.jpg","https://www.youtube.com/watch?v=QGJuMBdaqIw",0.7376968860626221,0.6935457587242126
Fix You,Coldplay,"https://cdn11.bigcommerce.com/s-bnr350xzri/images/stencil/1280x1280/products/104103/495752/SLPTGGVR21__51009.1665740989.jpg?c=2&imbypass=on","https://www.youtube.com/watch?v=k4V3Mo61fJM",0.4065088629722595,0.511428952217102
For Good,From "Wicked","https://i.scdn.co/image/ab67616d0000b273f3eaae22e1c6b26400073c05","https://www.youtube.com/watch?v=wYTeyNB1k5g",0.2869701087474823,0.42456236481666565
The Girl I Mean to Be,From "The Secret Garden","https://i.scdn.co/image/ab67616d0000b273b6fa2177ecfb142abdd91f7d","https://www.youtube.com/watch?v=9yW3EnlH5eo",0.236079603433609,0.3300855755805969
Glory of Love,Peter Cetera,"https://cdns-images.dzcdn.net/images/cover/3ad33bc07f9f350f84ab37f59ed9ca62/0x1900-000000-80-0-0.jpg","https://www.youtube.com/watch?v=1eQWdpWjXlk",0.5378241539001465,0.6116194128990173
God Only Knows,The Beach Boys,"https://m.media-amazon.com/images/M/MV5BOGYyOTFjNmMtYjE1Yi00NzE0LWI0NzgtOTYyN2Q5MDM3YWUyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg","https://www.youtube.com/watch?v=NADx3-qRxek",0.41400662064552307,0.5495758652687073
Hallelujah,Jeff Buckley,"https://m.media-amazon.com/images/I/61CYHZ8I24L.jpg","https://www.youtube.com/watch?v=y8AWFf7EAc4",0.2187778800725937,0.3452160656452179
